Full Name,TEAMS,Batting Style,Bowling Style,Playing Role,description,imageurl
Hashmatullah Shahidi,Afghanistan,Left hand Bat,Right arm Offbreak,Top order Batter,"Hashmatullah Shaidi is a young left-handed batsman whose hard work in Afghanistan's age group teams eventually allowed him to break into the senior squad. Shaidi started his journey in the Under-17 side and was included in Afghanistan's squad for the 2010 Under-19 World Cup in New Zealand. Four years later, he was part of the Under-19 team that beat Australia and Sri Lanka, and was rewarded with a spot in the squad for Afghanistan's first full tour of Zimbabwe. His favourite shot is the cover-drive and he idolises Kumar Sangakkara.Liam Brickhill","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320400/320495.png"
Matt Henry,New Zealand,Right hand Bat,Right arm Fast medium,Bowler,"A slippery fast bowler, Matt Henry almost didn't play for New Zealand, as he underwent a major back surgery in 2012. Two years later, though, he was called up as cover during the ODI series against India, and thanks to a niggle to fellow injury-prone Hamish Bennett, Henry put the black cap on and registered the third-best figures for a New Zealand debutant in ODIs, claiming four wickets to seal New Zealand's 4-0 series triumph.He played in only two matches in the 2015 World Cup, and incredibly they were the most important, the semi-final against South Africa and the final against Australia. Henry would make his Test debut at Lord's on the subsequent tour of England and made an immediate impression taking 4 for 93 in the first innings. Over the next four years his body held up well as he was a fairly regular member of New Zealand's Test and ODI sides and played the occasional T20I. In 2019, he was a key part of New Zealand's incredible World Cup campaign. He took 14 wickets, including 4 for 47 against Bangladesh. But he saved his best spell for the winning semi-final at Old Trafford where he ripped through India's top order, claiming 3 for 37 including the tournament's leading scorer Rohit Sharma. He also took the key wicket of Jason Roy in the epic final against England at Lord's. Henry stays consistently over 140kmph, likes to bowl full, and had only taken four five-fors in 14 first-class games spread over three seasons when he was called up for what initially looked like an apprenticeship with the New Zealand senior team.ESPNcricinfo staff","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321200/321247.png"
Liam Livingstone,England,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,"The sense that Liam Livingstone is a domineering batting talent who will end up playing all three formats for England was strengthened by an excellent maiden Championship double-century for Lancashire against Warwickshire at Old Trafford in 2017. He had begun the season billed as the ""belligerent face of England's next generation"" after a successful England Lions tour of Sri Lanka, and England took an early look at him with two T20 appearances against South Africa before deciding that he needed more time to craft his game at county level. That double-hundred suggested his research was coming along just fine.Crafting his game did not go well in 2018. He broke a thumb in the Roses match in July which did not help (bizarrely reappearing to bat with a short leg pad as protection) and failed to reach fifty in 10 Championship matches as Lancashire were relegated under his captaincy. He recovered in time for Finals Day in the T20 Blast where his hundred in 49 balls against Derbyshire had provided his greatest satisfaction in a summer he would want to forget.He gave up the captaincy at the end of the season and over the next three years embarked on a globe-trotting T20 journey, ticking off the majority of the world's franchise leagues during English winters to expose himself to different conditions and roles. His form led to an ODI debut in early 2021 and a T20I recall exactly four years after his debut against Sri Lanka. The following month, he blitzed the fastest-ever T20I hundred by an Englishman, off 42 balls against Pakistan at Trent Bridge, then cleared the new stand at Headingley and embarked on a six-hitting rampage in the first season of the Hundred.Livingstone, a hard-hitting batsman from Barrow in Cumbria, won a trophy in his first season in Lancashire colours when they triumphed at Edgbaston on Finals Day in the 2015 NatWest Blast. His satisfaction did not come without mishap, however, after he was glassed (and deemed an innocent party) in a late-night incident in an Ashford bar after the quarter-final win against Kent and needed around 20 stitches. A first-ball duck, bowled by Northants' Shahid Afridi, added to his misery in the final, but Lancashire were hopeful that, at the very least, they had a big hitter on their hands.He had first attracted media attention as the season began by striking 350 in 138 balls for his club side Nantwich in a mismatch which saw them beat Caldy by 500 runs. It was held to be one of the largest individual scores in any officially-sanctioned limited-overs fixture. He had moderate success in 2015-16 in Australian club cricket with Perth, but Lancashire's coach, Ashley Giles, gave the 22-year-old opportunities in all formats and was rewarded when he topped Lancashire's Championship batting averages, building on a maiden first-class hundred against Somerset in Taunton.  A 21-ball fifty against Yorkshire equalled what at the time was Lancashire's quickest in Twenty20. England Lions' interest was quickened and two intelligently-compiled hundreds in Sri Lanka spoke of a batsman more adaptable than many had imagined as well as one who possessed useful attributes as either legspinner or offspinner as the situation demanded.
ESPNcricinfo staff","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323100/323103.png"
Reece Topley,England,Right hand Bat,Left arm Fast medium,Bowler,"A left-arm seamer with a fearsome yorker but a chequered injury history, Reece Topley's career was in peril before his 25th birthday as he suffered a series of stress fractures that left him wondering whether he would ever be able to play again.That four years on Topley is regarded as a vital part of England's white ball plans, as a left-armer who deliveries from a great height, speaks of his mental fortitude. In 2022, he grew in both white ball codes at international level, registering the best ODI figures for an Englishman with 6 for 34 against India at Lord's. A sucker-punch came on the eve of that year's T20 World Cup when he rolled his left ankle, rupturing the ligaments, after stepping on a boundary sponge during a fielding drill ahead of England's final warm-up match. He was subsequently ruled out of the tournament. At a skyscraper height of 6ft 7ins, Topley has always towered above his team-mates. An early developer, he first hit the headlines in 2009 when, as a 15-year-old net bowler, his favourite player Kevin Pietersen drilled a drive into the side of his head. He needed stitches but Pietersen left him a signed bat as a more welcome memento.It wasn't until 2011 that Topley started making his own headlines. As a gangly 17-year-old left-arm seamer with huge potential he took 14 wickets for Essex in his three opening Championship matches - including five-wicket hauls in each of his first two games against Kent and Middlesex. That season was interrupted as Topley had to return to Royal Hospital School in Suffolk to start revising for the summer exams. His father, the former Essex player Don, was his school teacher and cricket mentor so slacking in any department was not an option. Topley seemed admirably unaffected by the early hype. At the Under-19 World Cup in Australia in 2012, he stood out as a professional in a boys' game: no one claimed more than his 19 wickets, which came at nine apiece, and Topley relished his status as a senior bowler in England's side. Further recognition - before he had even turned 19 - arrived with an England Lions call-up for the 2013 tour Down Under.The ECB and Essex have been careful to manage his workload, the county rotating him with their other talented quicks. He was a key member of the team in 2013, taking more than 80 wickets in all formats to earn a place on England's Performance Programme trip to Australia. However, a back injury ruled him out of going to Sri Lanka with the Lions, a reminder of how young fast bowlers need protecting.Topley had played for Essex representative sides since the age of nine, but immediately after his England debut in a T20I against Australia in 2015 he announced he was on his way, citing a lack of ambition. Instead, he headed for Hampshire, whose success in the limited-overs game was undeniable. He impressed in the white-ball series against Pakistan and South Africa in the 2015-16, and kept his spot for the World T20 in India despite a chastening outing against AB de Villiers in a T20I immediately before it. But he leaked runs in a high-scoring game against the same opposition in the tournament itself, and was left out for the rest of England's run to the final.But injury struck again, this time in more freakish fashion, in his first season with Hampshire. He failed to bowl a ball after being ruled out for the season during his debut when his left hand was broken when he was hit by a bouncer while batting against Warwickshire's Boyd Rankin. Shoulder surgery followed in the close season and then he suffered another back stress fracture in August 2017 in a season in which he had managed only 112 overs in all competitions. Topley signed a white-ball only deal in 2018 and won an England Lions call-up against India A as a show of faith, allowing him to show some neatly-timed form just ahead of the Royal London Cup final, but he was not selected, and soon needed a pin in his back after a fifth stress fracture. He signalled his wish to move on and was released in September.Sussex took a gamble on him during the 2018-19 winter, allowing him to train and recover at Hove, and he recovered to take 17 wickets in their T20 campaign and play his first Championship games for two years at the end of the season. They were unsurprisingly keen to tie him to a new contract, but were gazumped by Surrey, who became his fourth county when he signed at the end of the season.ESPNcricinfo staff","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322900/322910.png"
Vikramjit Singh,Netherlands,Left hand Bat,Right arm Medium,Opening Batter,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/368000/368038.png"
David Warner,Australia,Left hand Bat,Legbreak,Opening Batter,"David Warner's extraordinary batting feats in all three formats for Australia will forever be overshadowed by his role as the chief protagonist of the Newlands ball-tampering scandal of 2018 and his place as a central figure in Australian cricket's ensuing cultural crisis.After he was charged as the man who instructed team-mate Cameron Bancroft to use sandpaper on the ball in the infamous Cape Town Test, Warner, though not punished by the ICC, was banned from international and Australian domestic cricket by Cricket Australia for 12 months, stripped of the vice-captaincy, and banned from leadership roles for life.He returned for the 2019 World Cup and enjoyed a prolific tournament before suffering a record-breakingly poor Ashes, in which he made 95 runs in ten innings. He bounced back later that year with an unbeaten 335 against Pakistan in Adelaide - the second-highest Test score by an Australian - during a home summer in which he received the Allan Border Medal.Prior to his ban, Warner had established himself as one of the best all-format openers in the world. In 2015 his seniority was recognised when he was named vice-captain to Steven Smith in the Test and ODI sides, and he led the limited-overs sides with great success when Smith was rested. It was quite a turnaround for the man who two years earlier had been suspended by Cricket Australia for punching England's Joe Root in a bar-room altercation in Birmingham, and had been warned over a Twitter spat with a pair of journalists. It completed a remarkable rise for a player who burst onto the international scene in 2008-09 as a T20 specialist - he was the first man since 1877 to debut for Australia before playing first-class cricket. His breathtaking 89 from 43 balls on T20I debut against South Africa told the world of his talent, but few at the time expected him to become a key Test player as well.His debut in the baggy green came, appropriately, in Test match No. 2020, against New Zealand at the Gabba in 2011, and in his second game he achieved what Justin Langer and Matthew Hayden never did, carrying his bat through a Test innings. His unbeaten 123 in Hobart could not prevent a historic New Zealand win, but his patience in challenging conditions showed a different side to his batting. Later that same summer he made a very different kind of hundred, a 69-ball one against India at the WACA. In the seven-year period between his debut and the ban, Warner was far and away the best Test opener in the world.Away from international cricket, he has had a prolific franchise T20 career, especially in the IPL, and in 2021 became just the fourth batter to pass 10,000 runs in T20. 
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316589.png"
David Miller,South Africa,Left hand Bat,Right arm Offbreak,Middle order Batter,"A hard-hitting left-hander with a penchant for clearing the boundary, David Miller made famous the phrase ""If it's in the arc, it's out the park."" Miller is a self-styled finisher who is strong off the front and back foot and eager to swing his arms, as well as a gun fielder. He made his first-class debut in 2008 at the age of at 18 and two years later, his international debut on South Africa's tour of West Indies. But it was only in 2013 that he became a regular at international level and it took another two years for him to get his first ODI century: 130 against West Indies in January 2015, followed swiftly by an unbeaten 138 two matches later, which sent him to the World Cup in good form. He made an 18-ball 49 in the semi-final that South Africa narrowly lost to New Zealand. Miller spent even longer waiting for a milestone in T20I cricket. His first fifty in the format came in March 2016. Both speak more to lack of opportunity in limited-overs cricket, rather than lack of ability. At the IPL, Miller was one of the mainstays of Kings XI Punjab for eight years, scoring over 350 runs in each season between 2013 and 2015 and captaining them in 2016. In 2022, he had his best IPL season, scoring 481 runs and striking at 142.72 in Gujarat Titans' title-winning campaign. 
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316655.png"
Kagiso Rabada,South Africa,Left hand Bat,Right arm Fast,Bowler,"A strapping, genuine quick who regularly bowls in the 140-150kph range, Kagiso Rabada is the most exciting talent to emerge from South Africa in the post No.1 Test ranking era. Before he had turned 21, Rabada had already established himself as a potential leader of the attack. Rabada thrust himself into the international spotlight at the 2014 Under-19 World Cup, where he took 6 for 25 against Australia in the semi-final. South Africa went on to win the title - their first - and Rabada finished as their highest wicket-taker.  Three months later, he was awarded a franchise contract with Lions and before the year was up, he had been included in the national ODI and Test squads. He made his T20I debut against Australia in Adelaide in November 2014.  In early 2015, Rabada showed his ability in the longer format. He claimed the South African record for the best bowling figures in a first-class match, 14 for 105, surpassing the haul taken by Dale Steyn seven seasons before. He finished the season as the third-highest wicket-taker in the Sunfoil Series. He was included in all three squads to tour Bangladesh in July-August 2015, and became only the second player to take a hat-trick on ODI debut, eventually finishing with the best figures by a first-timer: 6 for 16. Rabada also played in a home series against New Zealand and was then included on a tour to India. There, he led the ODI wicket-takers' list with Steyn after both claimed 10 wickets. Injuries to Morne Morkel, then Steyn and Vernon Philander, meant Rabada got a chance to play in three of the four Tests of that series. On inhospitable pitches, he worked hard, often without reward but displayed the stamina required of a Test bowler. Rabada has had more assistance from the surfaces at home, where he played against England in the absence of Steyn and Philander. In the final Test, with South Africa having already lost the series, Rabada became the youngest South African to take 10 wickets in a match when he finished with 13 for 144. His workload did not lessen as he played a further four ODIs and two T20Is against England, three T20Is against Australia, and also led the attack at the 2016 World T20 in India. After his performances, Rabada seemed primed for an IPL stint but chose to sign a county deal with Kent for a month instead.  Firdose Moonda","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320300/320376.png"
Iftikhar Ahmed,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322100/322153.png"
Towhid Hridoy,Bangladesh,Right hand Bat,Right arm Offbreak,Top order Batter,,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/286900/286907.1.jpg"
Andile Phehlukwayo,South Africa,Left hand Bat,Right arm Medium fast,Bowling Allrounder,"Seam-bowling allrounder Andile Phehlukwayo made himself a part of South Africa's white-ball sides with his skill at the death, the ability to disguise his slower ball, and ability to contribute with the bat as a finisher. Although he was part of the Kwa-Zulu Natal Under-12 cricket side, his high school scholarship came courtesy of his hockey skills. He was part of the South Africa side that won the 2014 Under-19 cricket World Cup, though he only featured in one match. He was also in the Dolphins squad that played in the 2014 Champions League T20. In the 2015-16 season, he was Dolphins' leading wicket-taker in the 20-over competition, in which they reached the final. Soon after, he made his international debut at the age of 20, and topped the wickets chart in a 5-0 ODI whitewash of Australia in his second series. He went on to play the 2017 Champions Trophy and the 2019 World Cup.Given his modest pace, Phehlukwayo has been lower down South Africa's fast-bowling pecking order in Tests. He made his debut in 2017 but has played only a handful of Tests since.
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320300/320334.png"
James Neesham,New Zealand,Left hand Bat,Right arm Medium fast,Batting Allrounder,"Allrounder, and Twitter star, Jimmy Neesham went from the brink of retirement from cricket to almost delivering New Zealand the 2019 World Cup. In the tournament he was outstanding with bat and ball then in the final against England claimed three wickets and produced the final-ball run out to tie the scores after 50 overs. He was entrusted with the bat in the Super Over and scored 13 off 5 balls including a huge six off Jofra Archer. He was at the non-striker's end for the last ball when Martin Guptill was run out coming back for a second run that would have won New Zealand the World Cup. He made his international debut in a Twenty20 international on New Zealand's tour to South Africa in 2012-13, following some impressive performances in the shorter formats in the domestic season. Neesham began his first-class career with Auckland, but a move Otago worked well for him, as he made some important contributions in the 50-over format in the 2011-12 season, making three 40-plus scores in seven innings, all of them coming at more than a run a ball. He was among the wickets too, taking a career-best 5 for 44 against Wellington and 4 for 23 against Canterbury. The rewards came soon, as he was included in the limited-overs squads for the tour to South Africa and made his T20I and ODI debuts. In February 2014, Neesham made a century on Test debut against India and was at the other end when skipper Brendon McCullum became the first Black Cap to score a Test triple century. He became just the eighth player in Test history to score hundreds in his first two Tests when he made a century against West Indies in Jamaica.He narrowly missed the cut for the home World Cup in 2015, an experience he described as ""gut-wrenching"", when Grant Elliott was preferred at the last minute. Neesham found himself in the stands at Eden Park as Elliott struck that iconic six against South Africa to secure a spot in the final.Neesham was part of the one-day side over the next two seasons but was dropped after the 2017 Champions Trophy. He was ready to retire but was talked out of it and asked instead to take a break from the game. He returned in 2018 and dominated domestic one-day cricket scoring 503 runs at an average of 62.87 with a strike rate of 110.79, which earned him an international recall to face Sri Lanka. He made 47 not out from 13 balls and 64 from 37 in his first two ODIs back in January 2019 and locked up his 2019 World Cup spot.
ESPNcricinfo staff","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319700/319781.png"
Litton Das,Bangladesh,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Liton Das is the first wicketkeeper-batsman in Bangladesh considered good enough to be a long-term successor to Mushfiqur Rahim. His domestic exploits for Abahani in the Dhaka Premier League and Rangpur Division in the National Cricket League in the 2014-15 season earned him recognition and later a call-up in the senior side for the Test against India in Fatullah in June 2015.Hailing from the northern district of Dinajpur, which is around 331km from capital Dhaka, Liton began his adolescent life as a young cricketer in BKSP. He impressed one and all with his heavy run-scoring in school and age-group cricket. He was soon picked in Bangladesh's Under-19 side in 2012, the usual route for any talented young cricketer from BKSP and soon enough, he scored heavily in Youth ODIs too. In two Under-19 World Cups in 2012 and 2014, Liton averaged 51.33 with a century and three fifties.A compact batsman with a good defensive technique and flair in his strokeplay, he quickly got into domestic first-class cricket in the 2011-12 season. He scored a century and a fifty in his second season but due to preparation for the 2014 Under-19 World Cup in the UAE, he played just two first-class matches in the 2013-14 season.In the 2014-15 season, he hit big time when he was the second highest-scorer in the Dhaka Premier League for Abahani and later the top-scorer in the first first-class tournament of the season, the NCL. He was soon called into Bangladesh's T20 squad against Pakistan in April 2015 before being handed a Test debut against India in June. He also made his ODI debut against India in the same series.Mohammad Isam
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319700/319727.png"
Paul van Meekeren,Netherlands,Right hand Bat,Right arm Fast medium,Bowler,"Paul van Meekeren drew attention to himself during the World Twenty20 qualifiers in 2016 when he produced a spell of 4 for 11 against Ireland. A trial match at Taunton Vale, plus the success of his Dutch compatriot Timm van der Gugten at Glamorgan, was enough for Somerset to offer him a short-term deal midway through the 21016 season which they extended to a two-year deal until the end of the 2018 season. He made his Somerset first-class debut against the Pakistan tourists and followed up with T20 and List-A debuts for the Club in the same season, catching the eye in a NatWest T20 Blast fixture at Cardiff where he bowled with genuine pace. The following season, in his sole Championship appearance, he took four wickets on debut against Essex at Chelmsford.

ESPNcricinfo staff","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322600/322644.png"
Fazalhaq Farooqi,Afghanistan,Right hand Bat,Left arm Fast medium,Bowler,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/345000/345077.png"
Virat Kohli,India,Right hand Bat,Right arm Medium,Top order Batter,"India has given to the world many a great cricketer but perhaps none as ambitious as Virat Kohli. To meet his ambition, Kohli employed the technical assiduousness of Sachin Tendulkar and fitness that was in the league of top athletes in the world, not just cricketers. As a result, Kohli became the most consistent all-format accumulator of his time, making jaw-dropping chases look easy, and finding, in his own words, the safest possible way to score runs. Plenty of them.This ambition transferred seamlessly to his captaincy: he demanded more than ever of his bowlers especially the quick ones, often sacrificed a batsman for bowling depth, and led India to a long stay at No. 1 in Test rankings and a first-ever series win in Australia. He is well on his way to end up as India's most successful Test captain.  Barring one in Bangladesh, Kohli scored Test hundreds in and against every country he played. He absolutely smashed records for number of matches taken to reach eight, nine, ten and eleven thousand ODI runs. He was a genuine threat to Sachin Tendulkar's record of 49 ODI and 51 Test hundreds. An Under-19 world Cup-winning captain, when he burst onto the scene, Kohli was a precocious talent with a cover drive to kill for. He was destined to be India's next big batsman as the Tendulkar era began to retire, but Kohli wanted to be more: a cricketer whom the opposition would be in awe of, a cricketer whose presence would raise the intensity of the contest. He lived every ball, competed each moment, and made sure he had the fitness and strength to do so. He was widely credited for changing the fitness culture in Indian cricket, introducing endurance tests as a criterion for selection. Kohli was quite simply India's most powerful captain. Centre of every marketing campaign for Indian cricket, he also happened to lead at a time when the BCCI was run by interim administrators who knew better than to draw the ire of Indian cricket's biggest star. There was never any cause to doubt his intent: to do things that will win matches for India, which they did plenty under him.
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316605.png"
Devon Conway,New Zealand,Left hand Bat,Right arm Medium,Wicketkeeper Batter,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321200/321214.png"
Reeza Hendricks,South Africa,Right hand Bat,Right arm Offbreak,Opening Batter,"Reeza Hendricks has fashioned a reputation as a destructive T20 opener, with crisp shot-making, particularly through the covers, and one adept at pacing a knock and scoring quickly at either end of an innings. Hendricks made his international debut in a T20I series against Australia in 2014, where he made 49 in the third match. In August 2018 he joined the short list of South Africans to have made a century in their first ODI, cracking 102 from 89 balls against Sri Lanka to seal an away series win.Hendricks rose through the South African domestic ranks with consistent performances in the limited-overs game, first for Griqualand West and then for the Lions franchise. His talent was spotted young, and he was part of South Africa's squad for the Under-19 World Cup in Malaysia in 2008, which met Virat Kohli's India team in the tournament final. Hendricks became a regular starter for South Africa in white-ball cricket in 2018, following a domestic season where he was the first to score centuries in all three South African franchise competitions in a season, with three hundreds in the four-day competition in addition to those in the Momentum one-day and Ram Slam T20 tournaments. In the inaugural edition of the Mzansi Super League later that year, he played a crucial part in Jozi Stars' title win, with 412 runs in eight innings, including back-to-back unbeaten hundreds.In mid-2022, Hendricks hit a rich seam of form ahead of the T20 World Cup, reeling off three fifties in a row against England, followed by 74 and 42 against Ireland in the space of ten days, and added 74 in an away ODI against India a couple of months later.
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322071.png"
Joe Root,England,Right hand Bat,"Right arm Offbreak, Legbreak",Top order Batter,"That Joe Root would one day captain England was taken as read when he hit the grand old age of 23. The accolade everybody anticipated became his three years later, when Alastair Cook stood down after the 2016-17 tour of India. It was understandable that there were a few fears for Root's future workload. He was rare among England batsmen in achieving maturity so quickly, and had looked consumed by the delights of batting from the moment he first took guard. Now he had new responsibilities. Slight of build, perky of shot and with a scampish grin that got under a bowler's skin, by the time Root was appointed Test captain he had rattled up 53 Tests within five years with an average top side of 50, comfortably the highest among contemporary England players. Early expectations that he would establish himself as an opener did not materialise as an expansive game increasingly seemed better suited to No. 3 or No. 4. He was equally influential in limited-overs cricket where England's commitment to fearless cricket after their 2015 World Cup was much to his tastes, his crispness of stroke and shrewd judgment enabling him to bat purposefully around batsmen of greater weight of shot.Root had never been a strikingly heavy scorer as he worked through the ranks, nor was he particularly athletic, but his systematic approach was that of a young batsman who would not sell his wicket easily and gave England hope that he would be able to attune his game to the highest level. A slender batsman reliant on precision, his patience and stubbornness at the crease had Geoffrey Boycott gushing that he reminded him of himself, although Root soon developed a much broader range. Others saw some of his mentor Michael Vaughan in Root's front-foot drive - the pair also both attended Sheffield Collegiate.Root's Test debut for England in Nagpur in 2012 exemplified the qualities which had attracted coaches from an early age. Picked to tour India on the strength of two encouraging seasons with Yorkshire - and having been named Cricket Writers' Club Young Player of the Year - he impressed enough to be selected for the final Test of the series. He began with England's sixth-longest debut innings in terms of balls faced, scoring 73 from 229 balls as he displayed the patience and discrimination demanded both by the situation of the game and a desperately slow surface. His rise continued with a maiden Test hundred in his home ground, Headingley, against New Zealand in 2013 followed by a maiden Ashes century at Lord's having been promoted to open. Root looked set to occupy that role for many years to come, but his fortunes dipped as the series went on and then crashed along with the team as England were whitewashed in Australia in 2013-14. He began the tour at No. 6, moved up to No. 3 after the enforced departure of Jonathan Trott, then saw his Ashes ended early when he was dropped for the fifth Test in Sydney.Proof of Root's ability came in the way he responded. Back in England, he followed up a two-tone double hundred against Sri Lanka at Lord's - a disciplined innings with a freewheeling finale - with two more big hundreds against India. All three had the not-out asterisk. That seemed to say a lot about him.He even had the fortune to skipper Yorkshire to the Championship title at Trent Bridge in 2014 when Andrew Gale was suspended, less than a fortnight after he became the first Yorkshire batsman to hit an ODI hundred at Headingley, with India the victims. He was also in charge for Yorkshire's thumping defeat at Middlesex, in which they chased down 472 in the fourth innings. To his amusement, his team-mates dubbed him ""Craptain"". His full potential then poured forth in 2015 when he made 1385 Test runs in the year, and vied with Australia's Steven Smith at the top of the ICC Test rankings. Root played with alacrity on all surfaces and in all formats and his obvious delight in his art was a positive symbol in an England side committed in all formats to a more enterprising approach. Jaunty Ashes hundreds at Cardiff and Nottingham helped England to victories, his consistency at No. 4 repeatedly masked top-order frailties, and a mischievous sense of humour made his success all the more pleasurable.As England fell to defeat against Pakistan in the UAE in late 2015, a pattern began to build up which piqued Root even as he confirmed himself as one of the best batsmen around: his world became rather too full of entertaining 70s and 80s when he felt that a big hundred was there for the taking. Between his hundred in Johannesburg in early 2016 on a triumphant England tour and a century in Rajkot as England slumped 4-0 to India, he passed 50 six times but only converted one into a hundred. There again, it was quite a hundred: a career-best 254 against Pakistan at Old Trafford that banished talk of premature burnout in a non-stop England programme.Firmly established among the modern game's ""Big Four"" batsmen (Root, Smith, Virat Kohli and Kane Williamson), these were years of easy scoring. In 2015 and 2016 he set consecutive records for runs accumulated across all formats in a calendar year for England, with 2228 and 2570 respectively; in 2017, he came within five runs of surpassing Vaughan's calendar high-water mark of 1481 for England in Tests, which had stood since 2002. The following summer, with back-to-back efforts against India, Root surpassed Marcus Trescothick's English record of 12 ODI hundreds.Problems of conversion returned to afflict him in his second year as Test captain, however. Having made a matchwinning 190 against South Africa at Lord's, in his first match in charge, and a century in England's first day-night Test, against West Indies at Edgbaston, he went more than a year before again reaching three figures in a Test. That period included another unsuccessful Ashes tour of Australia, where Root topped the England averages but could only manage a highest score of 83. Defeat in New Zealand followed, then a messy draw at home to Pakistan, before England rallied to beat No. 1 side India 4-1 and give Root encouragement in his plans to rebuild the Test side.
ESPNcricinfo staff
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316639.png"
Mohammad Nawaz,Pakistan,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Mohammad Nawaz started out in cricket at the age of 14 as a left-arm medium-fast bowler and a middle-order batsman. An all-round performance of 60 runs and a four-for for Rawalpindi against Sialkot in an inter-region Under-16 tournament in 2008 earned him a place in the Pakistan side for the International Under-15 Championship in the West Indies. On the slow pitches of the Caribbean, he changed his bowling style to left-arm spin and transformed into a spin-bowling allrounder, with help from  coach Ameer Akbar and team manager Haroon Rashid. Nawaz studied at the FG Boys School in Rawalpindi but chose to discontinue his college education to focus on cricket instead. In the first four seasons after his first-class debut in 2012, Nawaz scored three first-class centuries and seven half-centuries, tallying 1440 runs, and took 44 wickets at an average of 24.4. Nawaz played for Quetta Gladiators in the inaugural Pakistan Super League and finished as the third-highest wicket-taker in the tournament, with 13 dismissals. That performance earned him a place in Pakistan's T20 squad for the 2016 Asia Cup in Bangladesh. A few months later, he was picked in the ODI side for the tour of England and Ireland. Umar Farooq","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322200/322217.png"
Wesley Barresi,Netherlands,Right hand Bat,Right arm Offbreak,Batter,"A former South African first class player. Represented Easterns Cricket at U15, U19, U23 level, before making his first class debut in 2003 against Titans. A surprise call up to first class cricket was embraced by Barresi as he went on to score a superb 57 on debut against one of the toughest teams in the franchise. Also featured in an elite Academy squad that was brought together by the Titans in 2002/2003. Now represents The Netherlands at international level making his ODI debut in 2010 against Scotland in the World Cricket League. A top order batsman with a wide array of strokes.","https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/322400/322483.png"
